evID,heatFlow,crustalThick,mantleThick,elevation,strainRate,nAftershocks
8898,0.0657722690577041,18280.359299956,108618.93510733,-4551.3546043245,375.967326226899,1
8899,0.0884975048842868,27601.1829894444,60450.92950527,-1235.98484025504,193.767193679945,0
8900,0.0653709227413706,20068.9772034118,94420.897915022,-4642.05308093094,488.348177023295,0
8901,0.0766170999256657,26950.8069107039,65100.011202208,565.632045715647,107.214745161717,0
8902,0.0549967094536705,15081.3069223319,130351.817300923,-6145.13524206827,399.938896351508,0
8903,0.0660516376409288,18461.8672357968,107995.185972036,-4517.86999412049,374.238178972849,1
8904,0.0796669013699649,25730.6244149761,71131.1881300675,-1207.17666476134,226.342293623529,0
8905,0.0857031124286264,28637.2754500336,62295.9395646065,-209.853350403343,111.406097808782,0
8906,0.087233581899675,26833.9967557523,63999.3398671562,-1550.55482948548,255.434718419647,1
8907,0.0850283404749495,27320.555842347,61735.1335510524,-710.128827210274,201.24791353651,2
8908,0.0689149347405357,23255.530476101,94266.983485122,-3421.22442003264,722.946899639483,3
8909,0.0688724816580774,23227.7306150366,94307.952839477,-3433.98479825987,727.313114118498,1
8910,0.0688642551129014,23263.431746292,94460.1208284229,-3427.84520939538,674.917369732323,0
8911,0.0836958320096019,27323.1102837908,61509.8881728682,-361.581510070443,222.311543821698,0
8912,0.0825362117074076,25828.2599822412,70930.9672926815,-1794.42688968645,166.000341958495,0
8913,0.0828948373030252,28581.7306159406,69387.266098078,-365.222864571066,81.4476063285212,2
8914,0.0828409639855963,28528.6678696421,69283.9233633316,-369.572878128853,63.5167775291362,3
8915,0.0920962173671405,26883.4808830894,57881.3985265805,-1242.86200319174,381.232839523183,1
8916,0.0783877036165378,24935.7853947926,76036.2963095481,-1796.42255317373,215.028520767908,1
8917,0.070128957366143,28798.6365545366,60361.4969480229,138.937071452042,71.2789142994428,1
8918,0.0854557509769182,26824.553033412,64977.87243237,-1375.93125255073,152.930717248926,0
8919,0.0654421985930192,21161.7112022205,98251.0944932105,-4427.26264827864,543.657016061216,1
8920,0.0843709719393536,27487.0601898043,60569.9115549057,-360.80915728194,196.806667038306,1
8921,0.0846550252500176,27450.3702179351,43597.3004077056,-288.246894549003,53.6259046046195,0
8922,0.0758295091301343,27409.6816719707,86282.0540267591,-1421.21329112814,199.606987311033,2
8923,0.107668494438645,25936.6214032462,41065.9789172748,-701.990523274382,204.152061545476,1
8924,0.0701285775416774,28799.4868766425,60364.5935596765,138.938578374745,71.0163024224727,1
8925,0.070128724577211,28801.6012960451,60364.2823474297,139.022640105978,70.9195973696801,0
8926,0.0500034554844814,15276.7716091125,137095.526022012,-7061.90266043439,354.023975288364,0
8927,0.0726984920516552,23842.8028600554,85197.0674329003,-2467.52777818596,444.436145035533,0
8928,0.0928474104155439,26562.5674223761,51643.2472004464,-695.698136529442,90.5065761659193,0
8929,0.0873983186828848,27177.6506649323,63002.6923953818,-1448.41062116836,196.51127362819,1
8930,0.0844693965250642,27787.356376398,61610.8004255632,-299.850918342149,215.790105029649,1
8931,0.0868978588492638,28111.4405639334,56942.1613377147,-267.44347331382,198.146639498331,0
8932,0.080284637507432,28540.2975249823,76025.3524791944,-509.365263941246,140.460788185907,1
8933,0.0674949767860016,22345.7686410605,94758.4152936473,-3735.56282976753,372.470542386795,0
8934,0.0890044714237696,27943.923798969,58329.1877869321,-971.042030194915,157.978015602165,1
8935,0.0500144093257064,14092.5198245071,135442.390131544,-6881.78183520997,76.9936177068905,-1
8936,0.0500546436408708,12192.3934775066,125085.723035274,-6544.56541888107,15.1394051640434,-1
